取引日,お取引内容,お支払金額,お預り金額,残高,取引メモ
2026/04/01,振込 カ）サクラショウジ,,330000,2530000,4月分商品代金
2026/04/02,振込 株式会社ミドリ商事,,550000,3080000,
2026/04/03,振込 楽天市場 04月清算,,1240000,4320000,EC売上振込
2026/04/05,東京電力 自動引落,42800,,4277200,
2026/04/05,NTTドコモ 通信料,18900,,4258300,
2026/04/10,振込 給与支払 山田太郎,280000,,3978300,
2026/04/10,振込 給与支払 鈴木花子,260000,,3718300,
2026/04/15,家賃支払 ABC不動産,330000,,3388300,本社家賃
2026/04/20,振込 カ）アオゾラ商店,,275000,3663300,卸売部門売上
2026/04/22,振込 渋谷店 売上入金,,485000,4148300,店舗A売上
2026/04/25,振込手数料,440,,4147860,
2026/04/28,振込 顧問料 田中コンサル,,165000,4312860,コンサル売上
